,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_7377,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,Tabrizicola piscis,,Tabrizicola piscis
Proteobacteria_7429,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter capsulatus,,Rhodobacter capsulatus
Proteobacteria_7448,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pikeienuella,Pikeienuella piscinae,,Pikeienuella piscinae
Proteobacteria_7450,Bacteria,Proteobacteria,,Alphaproteobacteria,Maricaulales,Maricaulaceae,Hyphobacterium,Hyphobacterium sp. CCMP332,,Hyphobacterium sp. CCMP332
Proteobacteria_7462,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Polymorphobacter,Polymorphobacter sp. PAMC 29362,,Polymorphobacter sp. PAMC 29362
Proteobacteria_7513,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,,Sphingobium
Proteobacteria_7514,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. CAP-1,,Sphingobium sp. CAP-1
Proteobacteria_7540,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,,Sphingobium
Proteobacteria_7545,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. KCTC 72723,,Sphingobium sp. KCTC 72723
Proteobacteria_7546,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. RAC03,,Sphingobium sp. RAC03
Proteobacteria_7550,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium phenoxybenzoativorans,,Sphingobium phenoxybenzoativorans
Proteobacteria_7554,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Blastomonas fulva,,Blastomonas fulva
Proteobacteria_7631,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_7632,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. P6W,,Novosphingobium sp. P6W
Proteobacteria_7634,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. PP1Y,,Novosphingobium sp. PP1Y
Proteobacteria_7636,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,Novosphingobium
Proteobacteria_7637,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium decolorationis,,Novosphingobium decolorationis
Proteobacteria_7642,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,Novosphingobium
Proteobacteria_7645,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. EMRT-2,,Novosphingobium sp. EMRT-2
Proteobacteria_7651,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium ginsenosidimutans,,Novosphingobium ginsenosidimutans
Proteobacteria_7654,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,Novosphingobium
Proteobacteria_7656,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. Gsoil 351,,Novosphingobium sp. Gsoil 351
Proteobacteria_7657,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_7673,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Sphingorhabdus lutea,,Sphingorhabdus lutea
Proteobacteria_7704,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,Rhizorhabdus dicambivorans,,Rhizorhabdus dicambivorans
Proteobacteria_7710,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas profundi,,Sphingomonas profundi
Proteobacteria_7791,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_7793,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Haematospirillum,Haematospirillum jordaniae,,Haematospirillum jordaniae
Proteobacteria_7807,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,Terasakiella sp. SH-1,,Terasakiella sp. SH-1
Proteobacteria_7809,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,,,,,Rhodospirillales
Proteobacteria_7829,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,,Azospirillum brasilense
Proteobacteria_7857,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Niveispirillum,Niveispirillum cyanobacteriorum,,Niveispirillum cyanobacteriorum
Proteobacteria_7964,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,Roseococcus microcysteis,,Roseococcus microcysteis
Proteobacteria_7967,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,,Roseomonas
Proteobacteria_7973,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,,Roseomonas
Proteobacteria_7974,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,,Acetobacteraceae
Proteobacteria_7975,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Elioraeaceae,Elioraea,Elioraea tepida,,Elioraea tepida
Proteobacteria_7988,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Hypericibacter,,,Hypericibacter
Proteobacteria_8004,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia tsutsugamushi,,Orientia tsutsugamushi
Proteobacteria_8061,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,,Rickettsia
Proteobacteria_8064,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,,,Rickettsiaceae
Proteobacteria_8066,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,,,,,Rickettsiales
Proteobacteria_8071,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_8133,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,,,Wolbachia
Proteobacteria_8174,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_8187,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Paracaedibacter,Candidatus Paracaedibacter acanthamoebae,,Candidatus Paracaedibacter acanthamoebae
Proteobacteria_8188,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,Caedimonadaceae,Candidatus Nucleicultrix,Candidatus Nucleicultrix amoebiphila,Candidatus Nucleicultrix amoebiphila FS5,Candidatus Nucleicultrix amoebiphila FS5
Proteobacteria_8189,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,,,,,Holosporales
Proteobacteria_8192,Bacteria,Proteobacteria,,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus,Magnetococcus marinus MC-1,Magnetococcus marinus MC-1
Proteobacteria_8197,Bacteria,Proteobacteria,,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,,,Mariprofundus
Proteobacteria_8219,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,,,,Gallionellaceae
Proteobacteria_8223,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera versatilis,Methylotenera versatilis 301,Methylotenera versatilis 301
Proteobacteria_8224,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera mobilis,Methylotenera mobilis JLW8,Methylotenera mobilis JLW8
Proteobacteria_8227,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,,,,Methylophilaceae
Proteobacteria_8228,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Candidatus Methylopumilus,Candidatus Methylopumilus planktonicus,,Candidatus Methylopumilus planktonicus
Proteobacteria_8496,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Deefgea,Deefgea sp. D17,,Deefgea sp. D17
Proteobacteria_8514,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_8526,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_8540,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas sp. TW-R-39-2,,Dechloromonas sp. TW-R-39-2
Proteobacteria_8544,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas denitrificans,,Dechloromonas denitrificans
Proteobacteria_8552,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,Methyloversatilis sp. RAC08,,Methyloversatilis sp. RAC08
Proteobacteria_8555,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_8556,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Denitratisoma,Denitratisoma oestradiolicum,,Denitratisoma oestradiolicum
Proteobacteria_8565,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,,,,,Rhodocyclales
Proteobacteria_8566,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,Aromatoleum pumilum,,Aromatoleum pumilum
Proteobacteria_8578,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera chlorobenzoica,,Thauera chlorobenzoica
Proteobacteria_8581,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera humireducens,,Thauera humireducens
Proteobacteria_8591,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Niveibacterium,Niveibacterium microcysteis,,Niveibacterium microcysteis
Proteobacteria_8595,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_8625,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter sp. HDW4A,,Diaphorobacter sp. HDW4A
Proteobacteria_8634,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas kerstersii,,Comamonas kerstersii
Proteobacteria_8688,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax antarcticus,,Acidovorax antarcticus
Proteobacteria_8691,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Verminephrobacter eiseniae,Verminephrobacter eiseniae EF01-2,Verminephrobacter eiseniae EF01-2
Proteobacteria_8700,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax carolinensis,,Acidovorax carolinensis
Proteobacteria_8710,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax sp. BAB1,,Rhodoferax sp. BAB1
Proteobacteria_8754,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. RAC07,,Hydrogenophaga sp. RAC07
Proteobacteria_8757,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. PAMC20947,,Hydrogenophaga sp. PAMC20947
Proteobacteria_8768,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinimonas,Serpentinimonas maccroryi,,Serpentinimonas maccroryi
Proteobacteria_8772,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. BA0156,,Hydrogenophaga sp. BA0156
Proteobacteria_8775,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Proteobacteria_8778,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Proteobacteria_8811,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Sphaerotilus,Sphaerotilus natans,,Sphaerotilus natans
Proteobacteria_8819,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,Kinneretia sp. XES5,,Kinneretia sp. XES5
Proteobacteria_8821,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Mitsuaria,Mitsuaria sp. 7,,Mitsuaria sp. 7
Proteobacteria_8825,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Paucibacter,Paucibacter sp. KCTC 42545,,Paucibacter sp. KCTC 42545
Proteobacteria_8830,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Methylibium,Methylibium sp. Pch-M,,Methylibium sp. Pch-M
Proteobacteria_8832,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Methylibium,,,Methylibium
Proteobacteria_8833,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,,Rhizobacter gummiphilus
Proteobacteria_8834,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,
Proteobacteria_8837,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,Schlegelella thermodepolymerans,,Schlegelella thermodepolymerans
Proteobacteria_8840,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Proteobacteria_9330,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter difficilis,,Polynucleobacter difficilis
Proteobacteria_9632,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_9649,Bacteria,Proteobacteria,,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter denitrificans,,Steroidobacter denitrificans
Proteobacteria_9654,Bacteria,Proteobacteria,,Gammaproteobacteria,Nevskiales,Sinobacteraceae,,,,Sinobacteraceae
Proteobacteria_9670,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter curvatus,,Spiribacter curvatus
Proteobacteria_9707,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,,,Rickettsiella
Proteobacteria_9711,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,,,,Coxiellaceae
Proteobacteria_9732,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Spirochaetes_100,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta africana,Spirochaeta africana DSM 8902,Spirochaeta africana DSM 8902
Spirochaetes_36,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia anserina,Borrelia anserina Es,Borrelia anserina Es
Verrucomicrobia_15,Bacteria,Verrucomicrobia,PVC group,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,,Luteolibacter luteus
Verrucomicrobia_18,Bacteria,Verrucomicrobia,PVC group,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Sulfuriroseicoccus,Sulfuriroseicoccus oceanibius,,Sulfuriroseicoccus oceanibius
Verrucomicrobia_20,Bacteria,Verrucomicrobia,PVC group,Spartobacteria,,,Candidatus Xiphinematobacter,Candidatus Xiphinematobacter sp. Idaho Grape,,Candidatus Xiphinematobacter sp. Idaho Grape
Verrucomicrobia_25,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,Nibricoccus,Nibricoccus aquaticus,,Nibricoccus aquaticus
Verrucomicrobia_27,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Opitutus terrae PB90-1,Opitutus terrae PB90-1
Verrucomicrobia_29,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,,,,Opitutaceae
Verrucomicrobia_30,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,,,,Opitutaceae
Verrucomicrobia_31,Bacteria,Verrucomicrobia,PVC group,Opitutae,,,,,,Opitutae
Verrucomicrobia_45,Bacteria,Verrucomicrobia,PVC group,,,,,,,PVC group
Verrucomicrobia_46,Bacteria,Verrucomicrobia,PVC group,,,,,,,PVC group
Actinobacteria_2289,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Salinibacterium,Salinibacterium sp. dk2585,,Salinibacterium sp. dk2585
Actinobacteria_2391,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,,,,,Micrococcales
Actinobacteria_2443,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,,,Cellulomonas
Actinobacteria_407,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,Aquihabitans sp. Kera 3,,Aquihabitans sp. Kera 3
Bacteroidetes_1007,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. KSM-R2A30,,Flavobacterium sp. KSM-R2A30
Bacteroidetes_1076,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_1095,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. CJ74,,Flavobacterium sp. CJ74
Bacteroidetes_1298,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Bacteroidetes_1458,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp. 97-N-M2,,Kaistella sp. 97-N-M2
Bacteroidetes_151,Bacteria,Bacteroidetes,FCB group,Saprospiria,Saprospirales,,,,,Saprospirales
Bacteroidetes_1514,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium caeni,,Cloacibacterium caeni
Bacteroidetes_161,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,,,Arachidicoccus
Bacteroidetes_163,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Panacibacter,Panacibacter ginsenosidivorans,,Panacibacter ginsenosidivorans
Bacteroidetes_178,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,,,Niabella
Bacteroidetes_183,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,,,,Chitinophagaceae
Bacteroidetes_195,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,,,Chitinophaga
Bacteroidetes_207,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,,,Chitinophaga
Bacteroidetes_210,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Bacteroidetes_321,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter fermentans,Dyadobacter fermentans DSM 18053,Dyadobacter fermentans DSM 18053
Bacteroidetes_430,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,,,Adhaeribacter
Bacteroidetes_475,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Mangrovivirgaceae,Mangrovivirga,Mangrovivirga cuniculi,,Mangrovivirga cuniculi
Bacteroidetes_485,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_504,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas sp. HDW5B,,Dysgonomonas sp. HDW5B
Bacteroidetes_880,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,,,,,Bacteroidales
Bacteroidetes_888,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Marinilabiliales,Prolixibacteraceae,,,,Prolixibacteraceae
Bacteroidetes_999,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sediminis,,Flavobacterium sediminis
Chlamydiae_75,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,,,,,Parachlamydiales
Cyanobacteria_18,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Leptolyngbyaceae,Leptothermofonsia,Leptothermofonsia sichuanensis,Leptothermofonsia sichuanensis PKUAC-SCTE412,Leptothermofonsia sichuanensis PKUAC-SCTE412
Cyanobacteria_2,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp. ABRG5-3,,Pseudanabaena sp. ABRG5-3
Cyanobacteria_201,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_206,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,,,,,Chroococcales
Cyanobacteria_220,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_263,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7120 = FACHB-418,,Nostoc sp. PCC 7120 = FACHB-418
Firmicutes_Tenericutes_347,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. NP157,,Bacillus sp. NP157
Firmicutes_Tenericutes_425,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna sedimenticola,,Anaerocolumna sedimenticola
Firmicutes_Tenericutes_575,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_999,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Sporomusa termitida,,Sporomusa termitida
Gemmatimonadetes_2,Bacteria,Gemmatimonadetes,FCB group,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,,,Gemmatimonadaceae
Nitrospirae_0,Bacteria,Nitrospirae,,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae,Dissulfurispira,Dissulfurispira thermophila,,Dissulfurispira thermophila
Planctomycetes_1,Bacteria,Planctomycetes,PVC group,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Kuenenia,Candidatus Kuenenia stuttgartiensis,,Candidatus Kuenenia stuttgartiensis
